ACHAT,NOMBRE,PRIX UNITAIRE,TOTALE,SOMME TOTALES
SAC CIMENT,1,"7 000,00 XOF","7 000,00 XOF",
TRANSPORT BORDURE,1,"2 500,00 XOF","2 500,00 XOF",
GOUDRON RUBAN,5,"500,00 XOF","2 500,00 XOF",
MAIN DOEUVRE MACON,1,"10 000,00 XOF","10 000,00 XOF",
FIL DE MESURE,1,"750,00 XOF","750,00 XOF",
SABLE POUR FLEUR,1,"3 000,00 XOF","3 000,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
,,,"0,00 XOF",
